LIMES;UnitLIMES
Emissions level in ETS|CO2|Energy|Supply|Electricity;Mt CO2
EU ETS cap|CO2|Energy|Supply|Electricity;Mt CO2/yr
Emissions|CO2|Free-allocated certificates ETS;Mt CO2/yr
Emissions|CO2|Intake to MSR;Mt CO2/yr
Emissions|CO2|Outtake from MSR;Mt CO2/yr
Emissions|CO2|Cancellation from MSR;Mt CO2/yr
Emissions|CO2|Additional intake to the MSR;Mt CO2
Emissions|CO2|MSR level;Mt CO2
Emissions|CO2|Cap|Aviation;Mt CO2/yr
Emissions|CO2|Aviation;Mt CO2/yr
Emissions|CO2|Certificates from Stationary|Aviation;Mt CO2/yr
Emissions|CO2|Cap|Stationary|Electricity and Industry;Mt CO2/yr
Emissions|CO2|Cap|Stationary;Mt CO2/yr
Emissions|CO2|Energy|Supply|Heat|District Heating;Mt CO2/yr
Emissions|CO2|Additional sectors in EU ETS;Mt CO2/yr
Emissions|CO2|EU ETS;Mt CO2/yr
Emissions|CO2|EU ETS|w/ aviation;Mt CO2/yr
Emissions|CO2|Unallocated certificates;Mt CO2/yr
Emissions|CO2|Cancellation from MSR [exogenous];Mt CO2/yr
Emissions|CO2|Total number of allowances in circulation [TNAC];Mt CO2
Emissions|CO2|Joint TNAC with linked systems;Mt CO2
Emissions|CO2|Cap|Maritime;Mt CO2/yr
Emissions|CO2|Cap|Stationary|w/ Maritime;Mt CO2/yr
Emissions|CO2|Maritime;Mt CO2/yr
Emissions abated|CO2|Maritime;Mt CO2/yr
